[3] 3:53:10 PM: Log started for 'C:\Tosca_Projects\TOSCA_Workspaces\Harvey Norman\Harvey Norman.tws'
[3] 3:53:10 PM: Log level: 4
[3] 3:53:10 PM: Release: 12.0.0.19268
[4] 3:53:15 PM:  ShowStatusInfo: 'Refresh  'WindowLabels''
[4] 3:53:15 PM:  ShowStatusInfo: 'Refresh all finished'
[3] 3:53:15 PM: OpenWorkspace took 00:00:05.7875802 to finish
[4] 3:53:20 PM:  ShowStatusInfo: 'Ready'
[4] 3:53:40 PM:  ShowStatusInfo: 'Refresh navigation view 'TestCases''
[4] 3:53:40 PM:  ShowStatusInfo: 'Ready'
[4] 3:53:40 PM:  ShowStatusInfo: 'Refresh detail view 'TestCases''
[4] 3:53:40 PM:  ShowStatusInfo: 'Ready'
[4] 3:53:40 PM:  ShowStatusInfo: 'Refresh view finished'
[4] 3:53:42 PM:  ShowStatusInfo: 'Ready'
[4] 3:53:43 PM:  ShowStatusInfo: '1 object selected'
[4] 3:53:47 PM:  ShowStatusInfo: 'Ready'
[4] 3:53:47 PM:  ShowStatusInfo: '1 object selected'
[4] 3:53:48 PM:  ShowStatusInfo: 'Ready'
[4] 3:53:48 PM:  ShowStatusInfo: '1 object selected'
[4] 3:53:49 PM:  ShowStatusInfo: 'Ready'
[4] 3:53:50 PM:  ShowStatusInfo: '1 object selected'
[4] 3:53:50 PM:  ShowStatusInfo: 'Ready'
[3] 3:53:53 PM: Task 'Run in ScratchBook' started on '/TestCases/Harvey Norman/Create New Account/Verify Account Mandatory Field Errors'
[4] 3:53:53 PM:  ShowStatusInfo: 'Run in ScratchBook'
[4] 3:53:55 PM:  ShowStatusInfo: 'Refresh navigation view 'Requirements''
[4] 3:53:55 PM:  ShowStatusInfo: 'Refresh navigation view 'TestCaseDesign''
[4] 3:53:55 PM:  ShowStatusInfo: 'Refresh navigation view 'Execution''
[4] 3:53:55 PM:  ShowStatusInfo: 'Refresh navigation view 'Issues''
[4] 3:53:55 PM:  ShowStatusInfo: 'Refresh navigation view 'Configurations''
[4] 3:53:55 PM:  ShowStatusInfo: 'Refresh navigation view 'TestCases''
[4] 3:53:55 PM:  ShowStatusInfo: 'Ready'
[4] 3:53:55 PM:  ShowStatusInfo: 'Refresh navigation view 'Modules''
[4] 3:53:55 PM:  ShowStatusInfo: 'Refresh detail view 'Requirements''
[4] 3:53:55 PM:  ShowStatusInfo: 'Refresh detail view 'TestCaseDesign''
[4] 3:53:55 PM:  ShowStatusInfo: 'Refresh detail view 'Execution''
[4] 3:53:55 PM:  ShowStatusInfo: 'Refresh detail view 'Issues''
[4] 3:53:55 PM:  ShowStatusInfo: 'Refresh detail view 'Configurations''
[4] 3:53:55 PM:  ShowStatusInfo: 'Refresh detail view 'TestCases''
[4] 3:53:55 PM:  ShowStatusInfo: 'Ready'
[4] 3:53:55 PM:  ShowStatusInfo: 'Refresh detail view 'Modules''
[4] 3:53:55 PM:  ShowStatusInfo: 'Refresh  'WindowLabels''
[4] 3:53:55 PM:  ShowStatusInfo: 'Refresh all finished'
[4] 3:53:55 PM:  ShowStatusInfo: 'Run started with TBoxRunTaskExecutor'
[4] 3:53:55 PM:  ShowStatusInfo: 'Verifying required licenses ...'
[4] 3:53:58 PM:  ShowStatusInfo: 'Execution Running ...'
[3] 3:54:31 PM: executionResponses count: 1
[4] 3:54:32 PM:  ShowStatusInfo: 'Run finalizing ... '
[4] 3:54:32 PM:  ShowStatusInfo: 'Run finished'
[3] 3:54:32 PM: Task 'Run' finished
[4] 3:54:32 PM:  ShowStatusInfo: 'Ready'
[4] 3:54:32 PM:  ShowStatusInfo: 'Run in ScratchBook finalizing ... '
[4] 3:54:32 PM:  ShowStatusInfo: 'Refresh navigation view 'Requirements''
[4] 3:54:32 PM:  ShowStatusInfo: 'Refresh navigation view 'TestCaseDesign''
[4] 3:54:32 PM:  ShowStatusInfo: 'Refresh navigation view 'Execution''
[4] 3:54:32 PM:  ShowStatusInfo: 'Refresh navigation view 'Issues''
[4] 3:54:32 PM:  ShowStatusInfo: 'Refresh navigation view 'Configurations''
[4] 3:54:32 PM:  ShowStatusInfo: 'Refresh navigation view 'TestCases''
[4] 3:54:32 PM:  ShowStatusInfo: 'Ready'
[4] 3:54:32 PM:  ShowStatusInfo: 'Refresh navigation view 'Modules''
[4] 3:54:32 PM:  ShowStatusInfo: 'Refresh detail view 'Requirements''
[4] 3:54:32 PM:  ShowStatusInfo: 'Refresh detail view 'TestCaseDesign''
[4] 3:54:32 PM:  ShowStatusInfo: 'Refresh detail view 'Execution''
[4] 3:54:32 PM:  ShowStatusInfo: 'Refresh detail view 'Issues''
[4] 3:54:32 PM:  ShowStatusInfo: 'Refresh detail view 'Configurations''
[4] 3:54:32 PM:  ShowStatusInfo: 'Refresh detail view 'TestCases''
[4] 3:54:32 PM:  ShowStatusInfo: 'Ready'
[4] 3:54:32 PM:  ShowStatusInfo: 'Refresh detail view 'Modules''
[4] 3:54:32 PM:  ShowStatusInfo: 'Refresh  'WindowLabels''
[4] 3:54:32 PM:  ShowStatusInfo: 'Refresh all finished'
[4] 3:54:32 PM:  ShowStatusInfo: 'Run in ScratchBook finished'
[3] 3:54:32 PM: Task 'Run in ScratchBook' finished
[4] 3:54:32 PM:  ShowStatusInfo: 'Refresh navigation view 'Requirements''
[4] 3:54:32 PM:  ShowStatusInfo: 'Refresh navigation view 'TestCaseDesign''
[4] 3:54:32 PM:  ShowStatusInfo: 'Refresh navigation view 'Execution''
[4] 3:54:32 PM:  ShowStatusInfo: 'Refresh navigation view 'Issues''
[4] 3:54:32 PM:  ShowStatusInfo: 'Refresh navigation view 'Configurations''
[4] 3:54:32 PM:  ShowStatusInfo: 'Refresh navigation view 'TestCases''
[4] 3:54:32 PM:  ShowStatusInfo: 'Ready'
[4] 3:54:32 PM:  ShowStatusInfo: 'Refresh navigation view 'Modules''
[4] 3:54:32 PM:  ShowStatusInfo: 'Refresh detail view 'Requirements''
[4] 3:54:32 PM:  ShowStatusInfo: 'Refresh detail view 'TestCaseDesign''
[4] 3:54:32 PM:  ShowStatusInfo: 'Refresh detail view 'Execution''
[4] 3:54:32 PM:  ShowStatusInfo: 'Refresh detail view 'Issues''
[4] 3:54:32 PM:  ShowStatusInfo: 'Refresh detail view 'Configurations''
[4] 3:54:32 PM:  ShowStatusInfo: 'Refresh detail view 'TestCases''
[4] 3:54:32 PM:  ShowStatusInfo: 'Ready'
[4] 3:54:32 PM:  ShowStatusInfo: 'Refresh detail view 'Modules''
[4] 3:54:32 PM:  ShowStatusInfo: 'Refresh  'WindowLabels''
[4] 3:54:32 PM:  ShowStatusInfo: 'Refresh all finished'
[4] 3:54:32 PM:  ShowStatusInfo: 'Ready'
[4] 3:54:33 PM:  ShowStatusInfo: 'Refresh navigation view 'Modules''
[4] 3:54:33 PM:  ShowStatusInfo: 'Ready'
[4] 3:54:33 PM:  ShowStatusInfo: 'Refresh detail view 'Modules''
[4] 3:54:33 PM:  ShowStatusInfo: 'Ready'
[4] 3:54:33 PM:  ShowStatusInfo: 'Refresh view finished'
[4] 3:54:35 PM:  ShowStatusInfo: 'Ready'
[4] 3:54:35 PM:  ShowStatusInfo: '1 object selected'
[4] 3:54:35 PM:  ShowStatusInfo: 'Ready'
[3] 3:54:55 PM: Task 'Scan Application Desktop Scan' started on '/Modules/Harvey Norman'
[4] 3:54:55 PM:  ShowStatusInfo: 'Scan Application Desktop Scan'
[4] 3:54:56 PM:  ShowStatusInfo: 'Starting Desktop Scan (Cleaning up previous scan) ...'
[4] 3:54:56 PM:  ShowStatusInfo: 'Initializing  Desktop Scan'
[4] 3:54:56 PM:  ShowStatusInfo: 'Starting XScan ...'
[4] 3:55:02 PM:  ShowStatusInfo: 'Bring Scan To Foreground ...'
[4] 3:55:02 PM:  ShowStatusInfo: 'Waiting for Scan Result ...'
[4] 3:57:15 PM:  ShowStatusInfo: 'Saving Scan Result ...'
[4] 3:57:15 PM:  ShowStatusInfo: 'Refresh navigation view 'Requirements''
[4] 3:57:15 PM:  ShowStatusInfo: 'Refresh navigation view 'TestCaseDesign''
[4] 3:57:15 PM:  ShowStatusInfo: 'Refresh navigation view 'Execution''
[4] 3:57:15 PM:  ShowStatusInfo: 'Refresh navigation view 'Issues''
[4] 3:57:15 PM:  ShowStatusInfo: 'Refresh navigation view 'Configurations''
[4] 3:57:15 PM:  ShowStatusInfo: 'Refresh navigation view 'TestCases''
[4] 3:57:15 PM:  ShowStatusInfo: 'Refresh navigation view 'Modules''
[4] 3:57:15 PM:  ShowStatusInfo: 'Ready'
